Nationality,Single Age Group,Five-Year Age Group,Governorate,Region,Gender,Population
Saudi,55,55-59,,,Male,146
Non-Saudi,55,55-59,,,Male,116
Saudi,55,55-59,,,Male,28
Non-Saudi,55,55-59,,,Male,15
Saudi,55,55-59,,,Male,694
Non-Saudi,55,55-59,,,Male,1004
Saudi,55,55-59,,,Male,187
Non-Saudi,55,55-59,,,Male,283
Saudi,55,55-59,,,Male,154
Non-Saudi,55,55-59,,,Male,176
Saudi,55,55-59,,,Male,414
Non-Saudi,55,55-59,,,Male,437
Saudi,55,55-59,,,Male,10664
Non-Saudi,55,55-59,,,Male,23497
Saudi,55,55-59,,,Male,60
Non-Saudi,55,55-59,,,Male,47
Saudi,55,55-59,,,Male,155
Non-Saudi,55,55-59,,,Male,149
Saudi,55,55-59,,,Male,68
Non-Saudi,55,55-59,,,Male,77
Saudi,55,55-59,,,Male,20
Non-Saudi,55,55-59,,,Male,34
Saudi,55,55-59,,,Male,162
Non-Saudi,55,55-59,,,Male,152
Saudi,55,55-59,,,Male,326
Non-Saudi,55,55-59,,,Male,365
Saudi,55,55-59,,,Male,121
Non-Saudi,55,55-59,,,Male,190
Saudi,55,55-59,,,Male,23
Non-Saudi,55,55-59,,,Male,39
Saudi,55,55-59,,,Male,42
Non-Saudi,55,55-59,,,Male,70
Saudi,55,55-59,,,Male,103
Non-Saudi,55,55-59,,,Male,114
Saudi,55,55-59,,,Male,94
Non-Saudi,55,55-59,,,Male,98
Saudi,55,55-59,,,Male,116
Non-Saudi,55,55-59,,,Male,104
Saudi,55,55-59,,,Male,51
Non-Saudi,55,55-59,,,Male,103
Saudi,55,55-59,,,Male,146
Non-Saudi,55,55-59,,,Male,124
Saudi,55,55-59,,,Male,31
Non-Saudi,55,55-59,,,Male,29
Saudi,55,55-59,,,Male,190
Non-Saudi,55,55-59,,,Male,207
Saudi,55,55-59,,,Male,77
Non-Saudi,55,55-59,,,Male,56
Saudi,55,55-59,,,Male,113
Non-Saudi,55,55-59,,,Male,67
Saudi,55,55-59,,,Male,127
Non-Saudi,55,55-59,,,Male,149
Saudi,55,55-59,,,Male,264
Non-Saudi,55,55-59,,,Male,244
Saudi,55,55-59,,,Male,17
Non-Saudi,55,55-59,,,Male,14
Saudi,55,55-59,,,Male,98
Non-Saudi,55,55-59,,,Male,58
Saudi,55,55-59,,,Male,70
Non-Saudi,55,55-59,,,Male,31
Saudi,55,55-59,,,Male,1427
Non-Saudi,55,55-59,,,Male,1370
Saudi,55,55-59,,,Male,73
Non-Saudi,55,55-59,,,Male,50
Saudi,55,55-59,,,Male,34
Non-Saudi,55,55-59,,,Male,23
Saudi,55,55-59,,,Male,33
Non-Saudi,55,55-59,,,Male,30
Saudi,55,55-59,,,Male,451
Non-Saudi,55,55-59,,,Male,365
Saudi,55,55-59,,,Male,51
Non-Saudi,55,55-59,,,Male,87
Saudi,55,55-59,,,Male,95
Non-Saudi,55,55-59,,,Male,41
Saudi,55,55-59,,,Male,106
Non-Saudi,55,55-59,,,Male,133
Saudi,55,55-59,,,Male,51
Non-Saudi,55,55-59,,,Male,19
Saudi,55,55-59,,,Male,2662
Non-Saudi,55,55-59,,,Male,3846
Saudi,55,55-59,,,Male,99
Non-Saudi,55,55-59,,,Male,80
Saudi,55,55-59,,,Male,163
Non-Saudi,55,55-59,,,Male,98
Saudi,55,55-59,,,Male,103
Non-Saudi,55,55-59,,,Male,56
Saudi,55,55-59,,,Male,40
Non-Saudi,55,55-59,,,Male,25
Saudi,55,55-59,,,Male,675
Non-Saudi,55,55-59,,,Male,1105
Saudi,55,55-59,,,Male,2673
Non-Saudi,55,55-59,,,Male,1959
Saudi,55,55-59,,,Male,519
Non-Saudi,55,55-59,,,Male,2193
Saudi,55,55-59,,,Male,841
Non-Saudi,55,55-59,,,Male,3437
Saudi,55,55-59,,,Male,179
Non-Saudi,55,55-59,,,Male,290
Saudi,55,55-59,,,Male,2480
Non-Saudi,55,55-59,,,Male,5975
Saudi,55,55-59,,,Male,21
Non-Saudi,55,55-59,,,Male,35
Saudi,55,55-59,,,Male,1634
Non-Saudi,55,55-59,,,Male,886
Saudi,55,55-59,,,Male,108
Non-Saudi,55,55-59,,,Male,224
Saudi,55,55-59,,,Male,110
Non-Saudi,55,55-59,,,Male,235
Saudi,55,55-59,,,Male,673
Non-Saudi,55,55-59,,,Male,759
Saudi,55,55-59,,,Male,80
Non-Saudi,55,55-59,,,Male,344
Saudi,55,55-59,,,Male,43
Non-Saudi,55,55-59,,,Male,101
Saudi,55,55-59,,,Male,34
Non-Saudi,55,55-59,,,Male,30
Saudi,55,55-59,,,Male,106
Non-Saudi,55,55-59,,,Male,125
Saudi,55,55-59,,,Male,155
Non-Saudi,55,55-59,,,Male,134
Saudi,55,55-59,,,Male,1147
Non-Saudi,55,55-59,,,Male,1461
Saudi,55,55-59,,,Male,71
Non-Saudi,55,55-59,,,Male,113
Saudi,55,55-59,,,Male,60
Non-Saudi,55,55-59,,,Male,71
Saudi,55,55-59,,,Male,117
Non-Saudi,55,55-59,,,Male,186
Saudi,55,55-59,,,Male,365
Non-Saudi,55,55-59,,,Male,302
Saudi,55,55-59,,,Male,265
Non-Saudi,55,55-59,,,Male,178
Saudi,55,55-59,,,Male,20
Non-Saudi,55,55-59,,,Male,22
Saudi,55,55-59,,,Male,109
Non-Saudi,55,55-59,,,Male,36
Saudi,55,55-59,,,Male,127
Non-Saudi,55,55-59,,,Male,128
Saudi,55,55-59,,,Male,23
Non-Saudi,55,55-59,,,Male,5
Saudi,55,55-59,,,Male,93
Non-Saudi,55,55-59,,,Male,18
Saudi,55,55-59,,,Male,147
Non-Saudi,55,55-59,,,Male,93
Saudi,55,55-59,,,Male,78
Non-Saudi,55,55-59,,,Male,30
Saudi,55,55-59,,,Male,143
Non-Saudi,55,55-59,,,Male,173
Saudi,55,55-59,,,Male,317
Non-Saudi,55,55-59,,,Male,585
Saudi,55,55-59,,,Male,276
Non-Saudi,55,55-59,,,Male,243
Saudi,55,55-59,,,Male,372
Non-Saudi,55,55-59,,,Male,411
Saudi,55,55-59,,,Male,101
Non-Saudi,55,55-59,,,Male,105
Saudi,55,55-59,,,Male,19
Non-Saudi,55,55-59,,,Male,29
Saudi,55,55-59,,,Male,41
Non-Saudi,55,55-59,,,Male,20
Saudi,55,55-59,,,Male,77
Non-Saudi,55,55-59,,,Male,17
Saudi,55,55-59,,,Male,155
Non-Saudi,55,55-59,,,Male,85
Saudi,55,55-59,,,Male,40
Non-Saudi,55,55-59,,,Male,11
Saudi,55,55-59,,,Male,42
Non-Saudi,55,55-59,,,Male,48
Saudi,55,55-59,,,Male,57
Non-Saudi,55,55-59,,,Male,77
Saudi,55,55-59,,,Male,37
Non-Saudi,55,55-59,,,Male,23
Saudi,55,55-59,,,Male,113
Non-Saudi,55,55-59,,,Male,142
Saudi,55,55-59,,,Male,1023
Non-Saudi,55,55-59,,,Male,1335
Saudi,55,55-59,,,Male,44
Non-Saudi,55,55-59,,,Male,33
Saudi,55,55-59,,,Male,42
Non-Saudi,55,55-59,,,Male,12
Saudi,55,55-59,,,Male,882
Non-Saudi,55,55-59,,,Male,945
Saudi,55,55-59,,,Male,210
Non-Saudi,55,55-59,,,Male,183
Saudi,55,55-59,,,Male,16
Non-Saudi,55,55-59,,,Male,11
Saudi,55,55-59,,,Male,57
Non-Saudi,55,55-59,,,Male,25
Saudi,55,55-59,,,Male,33
Non-Saudi,55,55-59,,,Male,27
Saudi,55,55-59,,,Male,126
Non-Saudi,55,55-59,,,Male,84
Saudi,55,55-59,,,Male,92
Non-Saudi,55,55-59,,,Male,154
Saudi,55,55-59,,,Male,103
Non-Saudi,55,55-59,,,Male,56
Saudi,55,55-59,,,Male,126
Non-Saudi,55,55-59,,,Male,178
Saudi,55,55-59,,,Male,403
Non-Saudi,55,55-59,,,Male,420
Saudi,55,55-59,,,Male,50
Non-Saudi,55,55-59,,,Male,58
Saudi,55,55-59,,,Male,40
Non-Saudi,55,55-59,,,Male,56
Saudi,55,55-59,,,Male,901
Non-Saudi,55,55-59,,,Male,1658
Saudi,55,55-59,,,Male,114
Non-Saudi,55,55-59,,,Male,78
Saudi,55,55-59,,,Male,79
Non-Saudi,55,55-59,,,Male,94
Saudi,55,55-59,,,Male,38
Non-Saudi,55,55-59,,,Male,32
Saudi,55,55-59,,,Male,40
Non-Saudi,55,55-59,,,Male,63
Saudi,55,55-59,,,Male,428
Non-Saudi,55,55-59,,,Male,424
Saudi,55,55-59,,,Male,74
Non-Saudi,55,55-59,,,Male,38
Saudi,55,55-59,,,Male,236
Non-Saudi,55,55-59,,,Male,258
Saudi,55,55-59,,,Male,66
Non-Saudi,55,55-59,,,Male,82
Saudi,55,55-59,,,Male,2186
Non-Saudi,55,55-59,,,Male,1813
Saudi,55,55-59,,,Male,154
Non-Saudi,55,55-59,,,Male,110
Saudi,55,55-59,,,Male,445
Non-Saudi,55,55-59,,,Male,360
Saudi,55,55-59,,,Male,36
Non-Saudi,55,55-59,,,Male,26
Saudi,55,55-59,,,Male,187
Non-Saudi,55,55-59,,,Male,133
Saudi,55,55-59,,,Male,61
Non-Saudi,55,55-59,,,Male,30
Saudi,55,55-59,,,Male,177
Non-Saudi,55,55-59,,,Male,242
Saudi,55,55-59,,,Male,79
Non-Saudi,55,55-59,,,Male,80
Saudi,55,55-59,,,Male,6469
Non-Saudi,55,55-59,,,Male,15375
Saudi,55,55-59,,,Male,141
Non-Saudi,55,55-59,,,Male,119
Saudi,55,55-59,,,Male,216
Non-Saudi,55,55-59,,,Male,396
Saudi,55,55-59,,,Male,72
Non-Saudi,55,55-59,,,Male,88
Saudi,55,55-59,,,Male,3665
Non-Saudi,55,55-59,,,Male,9345
Saudi,55,55-59,,,Male,60
Non-Saudi,55,55-59,,,Male,60
Saudi,55,55-59,,,Male,13
Non-Saudi,55,55-59,,,Male,6
Saudi,55,55-59,,,Male,21
Non-Saudi,55,55-59,,,Male,18
Saudi,55,55-59,,,Male,31
Non-Saudi,55,55-59,,,Male,63
Saudi,55,55-59,,,Male,9
Non-Saudi,55,55-59,,,Male,11
Saudi,55,55-59,,,Male,137
Non-Saudi,55,55-59,,,Male,177
Saudi,55,55-59,,,Male,604
Non-Saudi,55,55-59,,,Male,862
Saudi,55,55-59,,,Male,17
Non-Saudi,55,55-59,,,Male,16
Saudi,56,55-59,Al Bahah (Emirate HQ),Al Bahah,Female,163
Non-Saudi,56,55-59,Al Bahah (Emirate HQ),Al Bahah,Female,36
Saudi,56,55-59,Al Hujrah,Al Bahah,Female,28
Non-Saudi,56,55-59,Al Hujrah,Al Bahah,Female,3
Saudi,56,55-59,Al Aqiq,Al Bahah,Female,105
Non-Saudi,56,55-59,Al Aqiq,Al Bahah,Female,8
Saudi,56,55-59,,Al Bahah,Female,73
Non-Saudi,56,55-59,,Al Bahah,Female,4
Saudi,56,55-59,,Al Bahah,Female,124
Non-Saudi,56,55-59,,Al Bahah,Female,6
Saudi,56,55-59,,Al Bahah,Female,65
Non-Saudi,56,55-59,,Al Bahah,Female,2
Saudi,56,55-59,,Al Bahah,Female,151
Non-Saudi,56,55-59,,Al Bahah,Female,21
Saudi,56,55-59,,Al Bahah,Female,49
Non-Saudi,56,55-59,,Al Bahah,Female,2
Saudi,56,55-59,,Al Bahah,Female,28
Saudi,56,55-59,,Al Bahah,Female,101
Non-Saudi,56,55-59,,Al Bahah,Female,7
Saudi,56,55-59,,,Female,316
Non-Saudi,56,55-59,,,Female,32
Saudi,56,55-59,,,Female,115
Non-Saudi,56,55-59,,,Female,9
Saudi,56,55-59,,,Female,411
Non-Saudi,56,55-59,,,Female,104
Saudi,56,55-59,,,Female,124
Non-Saudi,56,55-59,,,Female,10
Saudi,56,55-59,,,Female,34
Non-Saudi,56,55-59,,,Female,7
Saudi,56,55-59,,,Female,167
Non-Saudi,56,55-59,,,Female,26
Saudi,56,55-59,,,Female,105
Non-Saudi,56,55-59,,,Female,9
Saudi,56,55-59,,,Female,353
Non-Saudi,56,55-59,,,Female,55
Saudi,56,55-59,,,Female,161
Non-Saudi,56,55-59,,,Female,5
Saudi,56,55-59,,,Female,22
Non-Saudi,56,55-59,,,Female,3
Saudi,56,55-59,,,Female,679
Non-Saudi,56,55-59,,,Female,101
Saudi,56,55-59,,,Female,144
Non-Saudi,56,55-59,,,Female,50
Saudi,56,55-59,,,Female,154
Non-Saudi,56,55-59,,,Female,13
Saudi,56,55-59,,,Female,459
Non-Saudi,56,55-59,,,Female,41
Saudi,56,55-59,,,Female,10108
Non-Saudi,56,55-59,,,Female,4349
Saudi,56,55-59,,,Female,69
Non-Saudi,56,55-59,,,Female,1
Saudi,56,55-59,,,Female,188
Non-Saudi,56,55-59,,,Female,12
Saudi,56,55-59,,,Female,86
Non-Saudi,56,55-59,,,Female,4
Saudi,56,55-59,,,Female,17
Non-Saudi,56,55-59,,,Female,3
Saudi,56,55-59,,,Female,174
Non-Saudi,56,55-59,,,Female,11
Saudi,56,55-59,,,Female,291
Non-Saudi,56,55-59,,,Female,30
Saudi,56,55-59,,,Female,106
Non-Saudi,56,55-59,,,Female,16
Saudi,56,55-59,,,Female,29
Non-Saudi,56,55-59,,,Female,4
Saudi,56,55-59,,,Female,48
Non-Saudi,56,55-59,,,Female,8
Saudi,56,55-59,,,Female,80
Non-Saudi,56,55-59,,,Female,16
Saudi,56,55-59,,,Female,75
Non-Saudi,56,55-59,,,Female,7
Saudi,56,55-59,,,Female,101
Non-Saudi,56,55-59,,,Female,16
Saudi,56,55-59,,,Female,49
Non-Saudi,56,55-59,,,Female,10
Saudi,56,55-59,,,Female,173
Non-Saudi,56,55-59,,,Female,9
Saudi,56,55-59,,,Female,29
Saudi,56,55-59,,,Female,192
Non-Saudi,56,55-59,,,Female,12
Saudi,56,55-59,,,Female,96
Non-Saudi,56,55-59,,,Female,7
Saudi,56,55-59,,,Female,116
Non-Saudi,56,55-59,,,Female,7
Saudi,56,55-59,,,Female,116
Non-Saudi,56,55-59,,,Female,9
Saudi,56,55-59,,,Female,310
Non-Saudi,56,55-59,,,Female,55
Saudi,56,55-59,,,Female,20
Saudi,56,55-59,,,Female,114
Non-Saudi,56,55-59,,,Female,19
Saudi,56,55-59,,,Female,74
Non-Saudi,56,55-59,,,Female,4
Saudi,56,55-59,,,Female,1322
Non-Saudi,56,55-59,,,Female,149
Saudi,56,55-59,,,Female,77
Non-Saudi,56,55-59,,,Female,1
Saudi,56,55-59,,,Female,50
Non-Saudi,56,55-59,,,Female,2
Saudi,56,55-59,,,Female,46
Non-Saudi,56,55-59,,,Female,3
Saudi,56,55-59,,,Female,439
Non-Saudi,56,55-59,,,Female,61
Saudi,56,55-59,,,Female,66
Non-Saudi,56,55-59,,,Female,6
Saudi,56,55-59,,,Female,105
Non-Saudi,56,55-59,,,Female,6
Saudi,56,55-59,,,Female,131
Non-Saudi,56,55-59,,,Female,9
Saudi,56,55-59,,,Female,64
Non-Saudi,56,55-59,,,Female,2
Saudi,56,55-59,,,Female,2577
Non-Saudi,56,55-59,,,Female,906
Saudi,56,55-59,,,Female,113
Non-Saudi,56,55-59,,,Female,7
Saudi,56,55-59,,,Female,146
Non-Saudi,56,55-59,,,Female,9
Saudi,56,55-59,,,Female,136
Non-Saudi,56,55-59,,,Female,3
Saudi,56,55-59,,,Female,53
Non-Saudi,56,55-59,,,Female,5
Saudi,56,55-59,,,Female,593
Non-Saudi,56,55-59,,,Female,110
Saudi,56,55-59,,,Female,2826
Non-Saudi,56,55-59,,,Female,215
Saudi,56,55-59,,,Female,405
Non-Saudi,56,55-59,,,Female,173
Saudi,56,55-59,,,Female,621
Non-Saudi,56,55-59,,,Female,499
Saudi,56,55-59,,,Female,139
Non-Saudi,56,55-59,,,Female,36
Saudi,56,55-59,,,Female,2248
Non-Saudi,56,55-59,,,Female,725
Saudi,56,55-59,,,Female,10
Non-Saudi,56,55-59,,,Female,1
Saudi,56,55-59,,,Female,1642
Non-Saudi,56,55-59,,,Female,72
Saudi,56,55-59,,,Female,76
Non-Saudi,56,55-59,,,Female,13
Saudi,56,55-59,,,Female,115
Non-Saudi,56,55-59,,,Female,17
Saudi,56,55-59,,,Female,684
Non-Saudi,56,55-59,,,Female,120
Saudi,56,55-59,,,Female,77
Non-Saudi,56,55-59,,,Female,32
Saudi,56,55-59,,,Female,52
Non-Saudi,56,55-59,,,Female,12
Saudi,56,55-59,,,Female,33
Saudi,56,55-59,,,Female,117
Non-Saudi,56,55-59,,,Female,11
Saudi,56,55-59,,,Female,147
Non-Saudi,56,55-59,,,Female,10
Saudi,56,55-59,,,Female,925
Non-Saudi,56,55-59,,,Female,182
Saudi,56,55-59,,,Female,88
Non-Saudi,56,55-59,,,Female,2
Saudi,56,55-59,,,Female,65
Non-Saudi,56,55-59,,,Female,6
Saudi,56,55-59,,,Female,101
Non-Saudi,56,55-59,,,Female,11
Saudi,56,55-59,,,Female,381
Non-Saudi,56,55-59,,,Female,44
Saudi,56,55-59,,,Female,303
Non-Saudi,56,55-59,,,Female,47
Saudi,56,55-59,,,Female,21
Non-Saudi,56,55-59,,,Female,12
Saudi,56,55-59,,,Female,104
Non-Saudi,56,55-59,,,Female,1
Saudi,56,55-59,,,Female,140
Non-Saudi,56,55-59,,,Female,15
Saudi,56,55-59,,,Female,32
Saudi,56,55-59,,,Female,84
Non-Saudi,56,55-59,,,Female,4
Saudi,56,55-59,,,Female,146
Non-Saudi,56,55-59,,,Female,21
Saudi,56,55-59,,,Female,75
Non-Saudi,56,55-59,,,Female,9
Saudi,56,55-59,,,Female,153
Non-Saudi,56,55-59,,,Female,27
Saudi,56,55-59,,,Female,281
Non-Saudi,56,55-59,,,Female,69
Saudi,56,55-59,,,Female,274
Non-Saudi,56,55-59,,,Female,74
Saudi,56,55-59,,,Female,420
Non-Saudi,56,55-59,,,Female,101
Saudi,56,55-59,,,Female,131
Non-Saudi,56,55-59,,,Female,22
Saudi,56,55-59,,,Female,33
Non-Saudi,56,55-59,,,Female,3
Saudi,56,55-59,,,Female,64
Non-Saudi,56,55-59,,,Female,4
Saudi,56,55-59,,,Female,80
Non-Saudi,56,55-59,,,Female,3
Saudi,56,55-59,,,Female,156
Non-Saudi,56,55-59,,,Female,3
Saudi,56,55-59,,,Female,32
Saudi,56,55-59,,,Female,39
Non-Saudi,56,55-59,,,Female,1
Saudi,56,55-59,,,Female,59
Non-Saudi,56,55-59,,,Female,5
Saudi,56,55-59,,,Female,29
Non-Saudi,56,55-59,,,Female,4
Saudi,56,55-59,,,Female,109
Non-Saudi,56,55-59,,,Female,12
Saudi,56,55-59,,,Female,972
Non-Saudi,56,55-59,,,Female,149
Saudi,56,55-59,,,Female,29
Non-Saudi,56,55-59,,,Female,3
Saudi,56,55-59,,,Female,37
Saudi,56,55-59,,,Female,925
Non-Saudi,56,55-59,,,Female,129
Saudi,56,55-59,,,Female,214
Non-Saudi,56,55-59,,,Female,13
Saudi,56,55-59,,,Female,22
Saudi,56,55-59,,,Female,56
Non-Saudi,56,55-59,,,Female,1
Saudi,56,55-59,,,Female,36
Non-Saudi,56,55-59,,,Female,4
Saudi,56,55-59,,,Female,143
Non-Saudi,56,55-59,,,Female,5
Saudi,56,55-59,,,Female,116
Non-Saudi,56,55-59,,,Female,7
Saudi,56,55-59,,,Female,177
Non-Saudi,56,55-59,,,Female,1
Saudi,56,55-59,,,Female,173
Non-Saudi,56,55-59,,,Female,7
Saudi,56,55-59,,,Female,545
Non-Saudi,56,55-59,,,Female,34
Saudi,56,55-59,,,Female,85
Non-Saudi,56,55-59,,,Female,10
Saudi,56,55-59,,,Female,45
Non-Saudi,56,55-59,,,Female,2
Saudi,56,55-59,,,Female,993
Non-Saudi,56,55-59,,,Female,134
Saudi,56,55-59,,,Female,146
Non-Saudi,56,55-59,,,Female,7
Saudi,56,55-59,,,Female,89
Non-Saudi,56,55-59,,,Female,12
Saudi,56,55-59,,,Female,51
Non-Saudi,56,55-59,,,Female,1
Saudi,56,55-59,,,Female,63
Non-Saudi,56,55-59,,,Female,9
Saudi,56,55-59,,,Female,532
Non-Saudi,56,55-59,,,Female,26
Saudi,56,55-59,,,Female,73
Non-Saudi,56,55-59,,,Female,5
Saudi,56,55-59,,,Female,200
Non-Saudi,56,55-59,,,Female,28
Saudi,56,55-59,,,Female,76
Non-Saudi,56,55-59,,,Female,5
Saudi,56,55-59,,,Female,2250
Non-Saudi,56,55-59,,,Female,306
Saudi,56,55-59,,,Female,211
Non-Saudi,56,55-59,,,Female,8
Saudi,56,55-59,,,Female,534
Non-Saudi,56,55-59,,,Female,41
Saudi,56,55-59,,,Female,37
Non-Saudi,56,55-59,,,Female,6
Saudi,56,55-59,,,Female,213
Non-Saudi,56,55-59,,,Female,10
Saudi,56,55-59,,,Female,53
Saudi,56,55-59,,,Female,183
Non-Saudi,56,55-59,,,Female,39
Saudi,56,55-59,,,Female,124
Non-Saudi,56,55-59,,,Female,7
Saudi,56,55-59,,,Female,6201
Non-Saudi,56,55-59,,,Female,3833
Saudi,56,55-59,,,Female,164
Non-Saudi,56,55-59,,,Female,19
Saudi,56,55-59,,,Female,189
Non-Saudi,56,55-59,,,Female,37
Saudi,56,55-59,,,Female,149
Non-Saudi,56,55-59,,,Female,9
Saudi,56,55-59,,,Female,3575
Non-Saudi,56,55-59,,,Female,1909
Saudi,56,55-59,,,Female,97
Non-Saudi,56,55-59,,,Female,3
Saudi,56,55-59,,,Female,22
Non-Saudi,56,55-59,,,Female,2
Saudi,56,55-59,,,Female,19
Non-Saudi,56,55-59,,,Female,1
Saudi,56,55-59,,,Female,37
Non-Saudi,56,55-59,,,Female,6
Saudi,56,55-59,,,Female,14
Saudi,56,55-59,,,Female,106
Non-Saudi,56,55-59,,,Female,43
Saudi,56,55-59,,,Female,593
Non-Saudi,56,55-59,,,Female,130
Saudi,56,55-59,,,Female,24
Saudi,56,55-59,Al Bahah (Emirate HQ),Al Bahah,Male,133
Non-Saudi,56,55-59,Al Bahah (Emirate HQ),Al Bahah,Male,283
Saudi,56,55-59,Al Hujrah,Al Bahah,Male,16
Non-Saudi,56,55-59,Al Hujrah,Al Bahah,Male,12
Saudi,56,55-59,Al Aqiq,Al Bahah,Male,63
Non-Saudi,56,55-59,Al Aqiq,Al Bahah,Male,50
Saudi,56,55-59,,Al Bahah,Male,37
Non-Saudi,56,55-59,,Al Bahah,Male,28
Saudi,56,55-59,,Al Bahah,Male,111
Non-Saudi,56,55-59,,Al Bahah,Male,91
Saudi,56,55-59,,Al Bahah,Male,44
Non-Saudi,56,55-59,,Al Bahah,Male,43
Saudi,56,55-59,,Al Bahah,Male,112
Non-Saudi,56,55-59,,Al Bahah,Male,139
Saudi,56,55-59,,Al Bahah,Male,40
Non-Saudi,56,55-59,,Al Bahah,Male,11
Saudi,56,55-59,,Al Bahah,Male,31
Non-Saudi,56,55-59,,Al Bahah,Male,10
Saudi,56,55-59,,Al Bahah,Male,69
Non-Saudi,56,55-59,,Al Bahah,Male,42
Saudi,56,55-59,,,Male,248
Non-Saudi,56,55-59,,,Male,338
Saudi,56,55-59,,,Male,91
Non-Saudi,56,55-59,,,Male,82
Saudi,56,55-59,,,Male,404
Non-Saudi,56,55-59,,,Male,479
Saudi,56,55-59,,,Male,126
Non-Saudi,56,55-59,,,Male,152
Saudi,56,55-59,,,Male,24
Non-Saudi,56,55-59,,,Male,26
Saudi,56,55-59,,,Male,130
Non-Saudi,56,55-59,,,Male,100
Saudi,56,55-59,,,Male,68
Non-Saudi,56,55-59,,,Male,136
Saudi,56,55-59,,,Male,277
Non-Saudi,56,55-59,,,Male,312
Saudi,56,55-59,,,Male,113
Non-Saudi,56,55-59,,,Male,111
Saudi,56,55-59,,,Male,20
Non-Saudi,56,55-59,,,Male,15
Saudi,56,55-59,,,Male,647
Non-Saudi,56,55-59,,,Male,856
Saudi,56,55-59,,,Male,164
Non-Saudi,56,55-59,,,Male,277
Saudi,56,55-59,,,Male,124
Non-Saudi,56,55-59,,,Male,152
Saudi,56,55-59,,,Male,363
Non-Saudi,56,55-59,,,Male,407
Saudi,56,55-59,,,Male,9789
Non-Saudi,56,55-59,,,Male,21788
Saudi,56,55-59,,,Male,35
Non-Saudi,56,55-59,,,Male,46
Saudi,56,55-59,,,Male,162
Non-Saudi,56,55-59,,,Male,134
Saudi,56,55-59,,,Male,59
Non-Saudi,56,55-59,,,Male,63
Saudi,56,55-59,,,Male,16
Non-Saudi,56,55-59,,,Male,39
Saudi,56,55-59,,,Male,140
Non-Saudi,56,55-59,,,Male,146
Saudi,56,55-59,,,Male,245
Non-Saudi,56,55-59,,,Male,327
Saudi,56,55-59,,,Male,108
Non-Saudi,56,55-59,,,Male,174
Saudi,56,55-59,,,Male,23
Non-Saudi,56,55-59,,,Male,38
Saudi,56,55-59,,,Male,44
Non-Saudi,56,55-59,,,Male,75
Saudi,56,55-59,,,Male,89
Non-Saudi,56,55-59,,,Male,112
Saudi,56,55-59,,,Male,69
Non-Saudi,56,55-59,,,Male,86
Saudi,56,55-59,,,Male,97
Non-Saudi,56,55-59,,,Male,138
Saudi,56,55-59,,,Male,64
Non-Saudi,56,55-59,,,Male,108
Saudi,56,55-59,,,Male,134
Non-Saudi,56,55-59,,,Male,91
Saudi,56,55-59,,,Male,27
Non-Saudi,56,55-59,,,Male,29
Saudi,56,55-59,,,Male,150
Non-Saudi,56,55-59,,,Male,180
Saudi,56,55-59,,,Male,65
Non-Saudi,56,55-59,,,Male,45
Saudi,56,55-59,,,Male,122
Non-Saudi,56,55-59,,,Male,63
Saudi,56,55-59,,,Male,136
Non-Saudi,56,55-59,,,Male,138
Saudi,56,55-59,,,Male,251
Non-Saudi,56,55-59,,,Male,199
Saudi,56,55-59,,,Male,25
Non-Saudi,56,55-59,,,Male,10
Saudi,56,55-59,,,Male,75
Non-Saudi,56,55-59,,,Male,74
Saudi,56,55-59,,,Male,60
Non-Saudi,56,55-59,,,Male,42
Saudi,56,55-59,,,Male,1202
Non-Saudi,56,55-59,,,Male,1192
Saudi,56,55-59,,,Male,72
Non-Saudi,56,55-59,,,Male,33
Saudi,56,55-59,,,Male,41
Non-Saudi,56,55-59,,,Male,25
Saudi,56,55-59,,,Male,32
Non-Saudi,56,55-59,,,Male,19
Saudi,56,55-59,,,Male,451
Non-Saudi,56,55-59,,,Male,350
Saudi,56,55-59,,,Male,47
Non-Saudi,56,55-59,,,Male,105
Saudi,56,55-59,,,Male,61
Non-Saudi,56,55-59,,,Male,31
Saudi,56,55-59,,,Male,100
Non-Saudi,56,55-59,,,Male,118
Saudi,56,55-59,,,Male,41
Non-Saudi,56,55-59,,,Male,18
Saudi,56,55-59,,,Male,2489
Non-Saudi,56,55-59,,,Male,3511
Saudi,56,55-59,,,Male,75
Non-Saudi,56,55-59,,,Male,60
Saudi,56,55-59,,,Male,113
Non-Saudi,56,55-59,,,Male,94
Saudi,56,55-59,,,Male,71
Non-Saudi,56,55-59,,,Male,68
Saudi,56,55-59,,,Male,32
Non-Saudi,56,55-59,,,Male,21
Saudi,56,55-59,,,Male,584
Non-Saudi,56,55-59,,,Male,1023
Saudi,56,55-59,,,Male,2543
Non-Saudi,56,55-59,,,Male,1764
Saudi,56,55-59,,,Male,476
Non-Saudi,56,55-59,,,Male,1939
Saudi,56,55-59,,,Male,744
Non-Saudi,56,55-59,,,Male,3245
Saudi,56,55-59,,,Male,136
Non-Saudi,56,55-59,,,Male,235
Saudi,56,55-59,,,Male,2320
Non-Saudi,56,55-59,,,Male,5201
Saudi,56,55-59,,,Male,11
Non-Saudi,56,55-59,,,Male,15
Saudi,56,55-59,,,Male,1583
Non-Saudi,56,55-59,,,Male,747
Saudi,56,55-59,,,Male,81
Non-Saudi,56,55-59,,,Male,174
Saudi,56,55-59,,,Male,92
